Year,First 5,30-y F5,First 10,30-y F10,First 15,30-y F15,First 20,30-y F20,First 30,30-y F30,First -20,30-y F-20,First -30,30-y F-20
1917,Mar 30,Mar 15,Apr 9,Apr 5,Apr 27,Apr 13,May 3,Apr 21,May 15,Jun 9,Dec 4,Nov 23,Dec 9,Dec 16
1918,Feb 23,Mar 15,Mar 18,Apr 5,Mar 29,Apr 13,Apr 12,Apr 22,May 4,Jun 8,Dec 6,Nov 23,Dec 31,Dec 15
1919,Apr 1,Mar 14,Apr 3,Apr 5,Apr 17,Apr 13,Apr 18,Apr 22,May 24,Jun 7,Nov 4,Nov 24,Dec 8,Dec 16
1920,Mar 21,Mar 14,Mar 23,Apr 5,Apr 19,Apr 13,May 6,Apr 22,Jul 19,Jun 7,Dec 18,Nov 23,Dec 27,Dec 16
1921,Mar 18,Mar 14,Apr 3,Apr 5,Apr 17,Apr 14,Apr 18,Apr 22,Jun 16,Jun 10,Nov 19,Nov 24,Dec 21,Dec 17
1922,Mar 9,Mar 14,Apr 4,Apr 4,Apr 8,Apr 14,Apr 22,Apr 21,Jun 4,Jun 9,Dec 5,Nov 24,Dec 14,Dec 17
1923,Jan 17,Mar 13,Apr 17,Apr 3,Apr 18,Apr 13,Apr 19,Apr 21,May 26,Jun 9,Dec 2,Nov 25,Jan 4,Dec 18
1924,Feb 2,Mar 10,Apr 1,Apr 4,Apr 23,Apr 13,May 11,Apr 21,Jul 5,Jun 9,Nov 16,Nov 25,Dec 16,Dec 19
1925,Feb 4,Mar 9,Mar 29,Apr 4,Apr 1,Apr 13,Apr 8,Apr 22,Jun 21,Jun 9,Nov 27,Nov 25,Jan 19,Dec 20
1926,Mar 20,Mar 8,Mar 20,Apr 3,Apr 12,Apr 13,Apr 15,Apr 21,May 5,Jun 9,Nov 20,Nov 26,Dec 1,Dec 22
1927,Feb 21,Mar 8,Mar 15,Apr 3,Apr 14,Apr 12,Apr 18,Apr 21,Jul 24,Jun 9,Nov 22,Nov 26,Dec 7,Dec 22
1928,Jan 10,Mar 6,Mar 21,Apr 2,Mar 23,Apr 12,Apr 27,Apr 21,May 23,Jun 9,Dec 3,Nov 26,Jan 7,Dec 22
1929,Mar 11,Mar 3,Mar 17,Apr 1,Mar 28,Apr 12,May 11,Apr 22,Jun 9,Jun 7,Nov 20,Nov 26,Dec 17,Dec 21
1930,Feb 19,Mar 5,Apr 4,Mar 31,Apr 4,Apr 12,Apr 9,Apr 23,May 3,Jun 8,Nov 26,Nov 26,None,Dec 21
